TMAP,Freq,Group
-0.670742333,22,19
-0.652881563,8,19
-0.554433942,2,19
-0.352330893,2,36
-0.344360411,16,34
-0.343456954,6,29
-0.338567555,15,34
-0.33727634,18,36
-0.320334911,26,29
-0.31027627,32,35
-0.136759579,24,3
-0.132595956,32,15
-0.005952086,7,3
0.106328987,32,16
0.153925776,32,31
0.190708131,32,1
0.194164112,32,18
0.197104067,32,21
0.204953447,32,8
0.247384697,31,10
0.249117345,32,4
0.250683963,10,27
0.254548281,22,27
0.276739806,20,33
0.2869519,12,33
0.288463086,32,6
0.299561381,8,20
0.316666692,24,20
0.583041906,8,14
0.595418215,8,28
0.604898512,18,7
0.653784454,23,28
0.746908903,32,12
0.761324584,23,14
0.781936109,32,22
0.842357337,29,30
0.869445741,32,24
0.896228313,14,7
0.942056894,6,9
0.942436516,32,2
0.94917202,15,25
0.955934823,15,26
1.007025003,16,26
1.081800699,14,32
1.082417607,20,13
1.111030698,31,23
1.155389786,14,9
1.219714642,16,32
1.254782438,12,13
1.355568647,15,25
1.503047466,12,9
1.539208412,31,37
1.544703484,32,11
1.829666615,16,5
1.840688705,16,5
2.161892176,32,17
